Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
185809;"COFERDROZA SCOOP LTDA                                                                               ";56,14;2;30/09/2024;"                                                  ";;
187599;"FIGUERAS SEATING EUROPE ,SL                                                                         ";-649,50;1;25/12/2024;"                                                  ";;
1951;"LUIS SIMOES LOGISTICA INTEGRADA,S.A.                                                                ";36215,10;71;20/08/2023;"Jordi Porta                                       ";26/06/2023;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 129.62"
182631;"CARBO COLLBATALLE, S.L.                                                                             ";389,44;8;30/04/2024;"                                                  ";20/05/2025;"Bones, he reclamat el DUA UE al remitent, la seva resposta mail adjunt, que els envios andorra sempre paga"
126023;"CONCEPTOQ INDUSTRIA SLU                                                                             ";5006,71;42;10/10/2024;"Vicenç Reche                                      ";13/01/2025;"SISPLAU, QUAN TINGUIS UN MOMENT POTS MIRAR AQUESTA EXP. QUAN PUGUI. GRÀCIES."
126415;"RDA PAMPLONA                                                                                        ";-2163,32;1;17/12/2024;"                                                  ";16/11/2023;"PAGAMENT REBUT"
1182;"PERE PORXAS PAIRO, S.L.                                                                             ";32,00;1;20/01/2025;"                                                  ";;
287365;"CUINATS JOTRI S.L.                                                                                  ";-5,82;1;22/12/2024;"                                                  ";;
1759;"LOZANO TRANSPORTES,S.A.                                                                             ";5307,30;15;05/10/2024;"Jordi Porta                                       ";09/10/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 73,58 EUR"
185312;"AIMSA GRUPO TEXTIL SL                                                                               ";-1346,67;1;16/02/2023;"                                                  ";;
180153;"MONTBLANC IBERIA, S.L.U.                                                                            ";-385,03;1;10/05/2024;"                                                  ";;
284220;"TRANSARBO SL                                                                                        ";671,59;5;24/09/2024;"                                                  ";;
185767;"TRANSPORTES BAROHEVA 2012 SL                                                                        ";121,75;2;24/09/2024;"                                                  ";;
280709;"IBERTEAM DELIVERY PLUS,S.L.                                                                         ";243,94;4;15/11/2024;"                                                  ";19/09/2024;"GESTIO DE COBRO"
184604;"VERTIV SPAIN, S.A.                                                                                  ";-714,04;1;10/10/2024;"                                                  ";;
182052;"DYNAMIC META ONE, S.L. (BLD)                                                                        ";862,60;22;25/08/2024;"GERVASIO MARTINEZ                                 ";17/10/2023;"Bona tarda us arribat aquesta expedició"
287564;"MENSIB UNO S.L.                                                                                     ";-108,59;1;07/02/2025;"                                                  ";;
1298;"KUEHNE & NAGEL, S.A.  (KN)                                                                          ";3059,40;8;25/11/2024;"                                                  ";25/06/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 60,48 EUR"
127061;"BIOMASA ECO-FORESTAL DE VILLACAÑAS SLU                                                              ";-279,93;1;04/04/2025;"                                                  ";;
282516;"G-STAR RAW CV                                                                                       ";-6858,79;1;19/08/2025;"                                                  ";;
3402;"RECKITT BENCKISER ESPAÑA,S.L. (RB)                                                                  ";8753,52;25;25/05/2024;"                                                  ";;
182742;"SMART BOUTIQUE, S.L.                                                                                ";99,34;1;09/09/2024;"                                                  ";;
